experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.1,1.0,1.0,1063,287,17713,937,0.5315,0.015944444444444445,0.9840555555555556,0.4685,0.7874074074074074,0.5315,0.6346268656716418,0.9388,0.0612,0.9427366111111111,0.7387986337866612,0.04630683058550797,0.15947392085075401,0.15302791032364993,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.1,10.0,1.0,623,60,17940,1377,0.3115,0.0033333333333333335,0.9966666666666667,0.6885,0.9121522693997072,0.3115,0.4644055162131942,0.92815,0.09885,0.9427366111111111,0.7387986337866612,0.05267186212404124,0.17927477109997927,2.302585092994046,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.1,10.0,1.0,397,15,17985,1603,0.1985,0.0008333333333333334,0.9991666666666666,0.8015,0.9635922330097088,0.1985,0.32918739635157546,0.9191,0.08765,0.9427366111111111,0.7387986337866612,0.04630683058550797,0.15947392085075401,2.302585092994046,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.1,10.0,1.0,747,94,17906,1253,0.3735,0.005222222222222222,0.9947777777777778,0.6265000000000001,0.8882282996432818,0.3735,0.5258711721224921,0.93265,0.10965,0.9427366111111111,0.7387986337866612,0.04630683058550797,0.15947392085075401,1.1389714084985911,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.1,1.0,10.0,1889,4523,13477,111,0.9445,0.25127777777777777,0.7487222222222222,0.055499999999999994,0.29460386774797254,0.9445,0.44912030432715166,0.7683,0.28165,0.9427366111111111,0.7387986337866612,0.05267186212404124,0.17927477109997927,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.1,1.0,10.0,1751,2704,15296,249,0.8755,0.15022222222222223,0.8497777777777777,0.12450000000000006,0.39304152637485973,0.8755,0.5425251742835011,0.85235,0.2597,0.9427366111111111,0.7387986337866612,0.04630683058550797,0.15947392085075401,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.1,1.0,10.0,1574,1408,16592,426,0.787,0.07822222222222222,0.9217777777777778,0.21299999999999997,0.5278336686787392,0.787,0.6318747490967483,0.9083,0.2834,0.9427366111111111,0.7387986337866612,0.04630683058550797,0.15947392085075401,-1.4611384731617267,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.1,1.0,1.0,1388,833,17167,612,0.694,0.04627777777777778,0.9537222222222222,0.30600000000000005,0.624943719045475,0.694,0.6576640606491353,0.92775,0.07225,0.9415965138888889,0.7364856940671854,0.05307285115122795,0.1800786729332447,0.0,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.1,1.0,1.0,1141,393,17607,859,0.5705,0.021833333333333333,0.9781666666666666,0.4295,0.7438070404172099,0.5705,0.645727221279004,0.9374,0.0626,0.9415965138888888,0.7364856940671854,0.04661908406908941,0.16081909586733661,0.0,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.1,1.0,1.0,977,225,17775,1023,0.4885,0.0125,0.9875,0.5115000000000001,0.8128119800332779,0.4885,0.6102435977514054,0.9376,0.0624,0.9415965138888888,0.7364856940671854,0.04661908406908941,0.16081909586733661,0.48998693237375923,,tuned_on_400_samples
